taxa,FALSE,TRUE,prop
Dinocampus coccinellae,29447,20,0.0678725353785591
Dioscorea communis,29447,20,0.0678725353785591
Elodea canadensis,29447,20,0.0678725353785591
Ennomos alniaria,29447,20,0.0678725353785591
Erodium cicutarium,29447,20,0.0678725353785591
Evernia prunastri,29447,20,0.0678725353785591
Fumaria muralis,29447,20,0.0678725353785591
Glyceria fluitans,29447,20,0.0678725353785591
Herminia tarsipennalis,29447,20,0.0678725353785591
Hesperis matronalis,29447,20,0.0678725353785591
Lasiommata megera,29447,20,0.0678725353785591
Lecanora chlarotera,29447,20,0.0678725353785591
Linyphia hortensis,29447,20,0.0678725353785591
Melecta albifrons,29447,20,0.0678725353785591
Mentha spicata,29447,20,0.0678725353785591
Microchrysa polita,29447,20,0.0678725353785591
Nedyus quadrimaculatus,29447,20,0.0678725353785591
Nephrotoma appendiculata,29447,20,0.0678725353785591
Orthosia incerta,29447,20,0.0678725353785591
Palliduphantes pallidus,29447,20,0.0678725353785591
Pellia endiviifolia,29447,20,0.0678725353785591
Philodromus aureolus,29447,20,0.0678725353785591
Platycnemis pennipes,29447,20,0.0678725353785591
Pulicaria dysenterica,29447,20,0.0678725353785591
Sorbus aria,29447,20,0.0678725353785591
Symphytum orientale,29447,20,0.0678725353785591
Tachystola acroxantha,29447,20,0.0678725353785591
Theodoxus fluviatilis,29447,20,0.0678725353785591
Vinca major,29447,20,0.0678725353785591
Viola arvensis,29447,20,0.0678725353785591
Acroloxus lacustris,29448,19,0.0644789086096311
Aelia acuminata,29448,19,0.0644789086096311
Agapetus fuscipes,29448,19,0.0644789086096311
Amanita rubescens,29448,19,0.0644789086096311
Amblyptilia acanthadactyla,29448,19,0.0644789086096311
Anagallis arvensis,29448,19,0.0644789086096311
Bathyomphalus contortus,29448,19,0.0644789086096311
Brachythecium albicans,29448,19,0.0644789086096311
Campanula poscharskyana,29448,19,0.0644789086096311
Carex sylvatica,29448,19,0.0644789086096311
Cedrus atlantica,29448,19,0.0644789086096311
Closterotomus norwegicus,29448,19,0.0644789086096311
Clubiona brevipes,29448,19,0.0644789086096311
Dolichovespula sylvestris,29448,19,0.0644789086096311
Epistrophe eligans,29448,19,0.0644789086096311
Eudonia lacustrata,29448,19,0.0644789086096311
Lactarius glyciosmus,29448,19,0.0644789086096311
Mnium hornum,29448,19,0.0644789086096311
Necora puber,29448,19,0.0644789086096311
Nephrotoma flavescens,29448,19,0.0644789086096311
Pachygnatha clercki,29448,19,0.0644789086096311
Phylloscopus sibilatrix,29448,19,0.0644789086096311
Piezodorus lituratus,29448,19,0.0644789086096311
Pseudargyrotoza conwagana,29448,19,0.0644789086096311
Psilolechia lucida,29448,19,0.0644789086096311
Ranunculus flammula,29448,19,0.0644789086096311
Russula ochroleuca,29448,19,0.0644789086096311
Smyrnium olusatrum,29448,19,0.0644789086096311
Syntrichia latifolia,29448,19,0.0644789086096311
Tibellus oblongus,29448,19,0.0644789086096311
Triodia sylvina,29448,19,0.0644789086096311
Veronica montana,29448,19,0.0644789086096311
Anser albifrons,29449,18,0.0610852818407032
Anthophora furcata,29449,18,0.0610852818407032
Apamea anceps,29449,18,0.0610852818407032
Asplenium adiantum-nigrum,29449,18,0.0610852818407032
Atriplex prostrata,29449,18,0.0610852818407032
Brassica napus,29449,18,0.0610852818407032
Buxus sempervirens,29449,18,0.0610852818407032
Cantharis nigricans,29449,18,0.0610852818407032
Castanea sativa,29449,18,0.0610852818407032
Cercopis vulnerata,29449,18,0.0610852818407032
Chelicorophium curvispinum,29449,18,0.0610852818407032
Didymodon vinealis,29449,18,0.0610852818407032
Ditula angustiorana,29449,18,0.0610852818407032
Echium vulgare,29449,18,0.0610852818407032
Exidia glandulosa,29449,18,0.0610852818407032
Fomes fomentarius,29449,18,0.0610852818407032
Galeopsis tetrahit,29449,18,0.0610852818407032
Geranium rotundifolium,29449,18,0.0610852818407032
Gongylidium rufipes,29449,18,0.0610852818407032
Hepialus humuli,29449,18,0.0610852818407032
Juglans regia,29449,18,0.0610852818407032
Juncus bufonius,29449,18,0.0610852818407032
Lamium amplexicaule,29449,18,0.0610852818407032
Larix decidua,29449,18,0.0610852818407032
Lecanora conizaeoides,29449,18,0.0610852818407032
Lecidella scabra,29449,18,0.0610852818407032
Leontodon hispidus,29449,18,0.0610852818407032
Linyphia triangularis,29449,18,0.0610852818407032
Lyonetia clerkella,29449,18,0.0610852818407032
Mamestra brassicae,29449,18,0.0610852818407032
Melissa officinalis,29449,18,0.0610852818407032
Merodon equestris,29449,18,0.0610852818407032
Mompha subbistrigella,29449,18,0.0610852818407032
Mycelis muralis,29449,18,0.0610852818407032
Nuctenea umbratica,29449,18,0.0610852818407032
Ourapteryx sambucaria,29449,18,0.0610852818407032
Oxalis acetosella,29449,18,0.0610852818407032
Pasiphila rectangulata,29449,18,0.0610852818407032
Pecten maximus,29449,18,0.0610852818407032
Phleum bertolonii,29449,18,0.0610852818407032
Polycentropus flavomaculatus,29449,18,0.0610852818407032
Psathyrella candolleana,29449,18,0.0610852818407032
Ramalina farinacea,29449,18,0.0610852818407032
Rhagio scolopaceus,29449,18,0.0610852818407032
Rhizocarpon reductum,29449,18,0.0610852818407032
Rhodocollybia butyracea,29449,18,0.0610852818407032
Rutpela maculata,29449,18,0.0610852818407032
Sedum acre,29449,18,0.0610852818407032
Selenia dentaria,29449,18,0.0610852818407032
Steromphala cineraria,29449,18,0.0610852818407032
Tinodes waeneri,29449,18,0.0610852818407032
Trametes gibbosa,29449,18,0.0610852818407032
Trisetum flavescens,29449,18,0.0610852818407032
Asio otus,29450,17,0.0576916550717752
Beris chalybata,29450,17,0.0576916550717752
Biston betularia,29450,17,0.0576916550717752
Bithynia leachii,29450,17,0.0576916550717752
Bombus sylvestris,29450,17,0.0576916550717752
Caloplaca flavescens,29450,17,0.0576916550717752
Clausilia bidentata,29450,17,0.0576916550717752
Clubiona reclusa,29450,17,0.0576916550717752
Cotoneaster horizontalis,29450,17,0.0576916550717752
Dacrymyces stillatus,29450,17,0.0576916550717752
Dioctria atricapilla,29450,17,0.0576916550717752
Dioctria rufipes,29450,17,0.0576916550717752
Eilema griseola,29450,17,0.0576916550717752
Epipactis helleborine,29450,17,0.0576916550717752
Erythromma viridulum,29450,17,0.0576916550717752
Euura proxima,29450,17,0.0576916550717752
Eysarcoris venustissimus,29450,17,0.0576916550717752
Geastrum striatum,29450,17,0.0576916550717752
Gliophorus psittacinus,29450,17,0.0576916550717752
Goera pilosa,29450,17,0.0576916550717752
Harmonia quadripunctata,29450,17,0.0576916550717752
Hylaeus communis,29450,17,0.0576916550717752
Hypericum androsaemum,29450,17,0.0576916550717752
Laetiporus sulphureus,29450,17,0.0576916550717752
Larinioides cornutus,29450,17,0.0576916550717752
Lecanora expallens,29450,17,0.0576916550717752
Melanelixia subaurifera,29450,17,0.0576916550717752
Muscari armeniacum,29450,17,0.0576916550717752
Neriene montana,29450,17,0.0576916550717752
Nomada marshamella,29450,17,0.0576916550717752
Oenothera glazioviana,29450,17,0.0576916550717752
Otiorhynchus sulcatus,29450,17,0.0576916550717752
Pardosa pullata,29450,17,0.0576916550717752
Pastinaca sativa,29450,17,0.0576916550717752
Phylloscopus inornatus,29450,17,0.0576916550717752
Poterium sanguisorba,29450,17,0.0576916550717752
Prunus lusitanica,29450,17,0.0576916550717752
Recurvirostra avosetta,29450,17,0.0576916550717752
Ribes nigrum,29450,17,0.0576916550717752
Rumex hydrolapathum,29450,17,0.0576916550717752
Sapyga quinquepunctata,29450,17,0.0576916550717752
Scleroderma areolatum,29450,17,0.0576916550717752
Solanum nigrum,29450,17,0.0576916550717752
Thalpophila matura,29450,17,0.0576916550717752
Tipula paludosa,29450,17,0.0576916550717752
Volucella zonaria,29450,17,0.0576916550717752
Zygaena lonicerae,29450,17,0.0576916550717752
Zygiella x-notata,29450,17,0.0576916550717752
Acer saccharinum,29451,16,0.0542980283028473
Acronicta rumicis,29451,16,0.0542980283028473
Allium triquetrum,29451,16,0.0542980283028473
Ascidiella aspersa,29451,16,0.0542980283028473
Asellus aquaticus,29451,16,0.0542980283028473
Barbus barbus,29451,16,0.0542980283028473
Calophasia lunula,29451,16,0.0542980283028473
Candelariella aurella,29451,16,0.0542980283028473
Carabus violaceus,29451,16,0.0542980283028473
Cassida vibex,29451,16,0.0542980283028473
Centaurea scabiosa,29451,16,0.0542980283028473
Chlorophyllum brunneum,29451,16,0.0542980283028473
Colias croceus,29451,16,0.0542980283028473
Coturnix coturnix,29451,16,0.0542980283028473
Crassa unitella,29451,16,0.0542980283028473
Dreissena polymorpha,29451,16,0.0542980283028473
Ephemera danica,29451,16,0.0542980283028473
Esox lucius,29451,16,0.0542980283028473
Eupeodes luniger,29451,16,0.0542980283028473
Favonius quercus,29451,16,0.0542980283028473
Flavoparmelia caperata,29451,16,0.0542980283028473
Galium saxatile,29451,16,0.0542980283028473
Geastrum triplex,29451,16,0.0542980283028473
Gnaphalium uliginosum,29451,16,0.0542980283028473
Gracillaria syringella,29451,16,0.0542980283028473
Gymnosporangium sabinae,29451,16,0.0542980283028473
Hygromia cinctella,29451,16,0.0542980283028473
Ichthyosaura alpestris,29451,16,0.0542980283028473
Kaestneria pullata,29451,16,0.0542980283028473
Lactarius turpis,29451,16,0.0542980283028473
Lampyris noctiluca,29451,16,0.0542980283028473
Leptogaster cylindrica,29451,16,0.0542980283028473
Littorina littorea,29451,16,0.0542980283028473
Lomographa temerata,29451,16,0.0542980283028473
Mus musculus,29451,16,0.0542980283028473
Myosoton aquaticum,29451,16,0.0542980283028473
Noctua fimbriata,29451,16,0.0542980283028473
Odontopera bidentata,29451,16,0.0542980283028473
Ononis spinosa,29451,16,0.0542980283028473
Origanum vulgare,29451,16,0.0542980283028473
Ozyptila praticola,29451,16,0.0542980283028473
Persicaria bistorta,29451,16,0.0542980283028473
Phalera bucephala,29451,16,0.0542980283028473
Phallus impudicus,29451,16,0.0542980283028473
Phaonia subventa,29451,16,0.0542980283028473
Planorbarius corneus,29451,16,0.0542980283028473
Ptychoptera contaminata,29451,16,0.0542980283028473
Quercus ilex,29451,16,0.0542980283028473
Rorippa palustris,29451,16,0.0542980283028473
Russula nigricans,29451,16,0.0542980283028473
Scoliciosporum umbrinum,29451,16,0.0542980283028473
Seseli libanotis,29451,16,0.0542980283028473
Stictopleurus punctatonervosus,29451,16,0.0542980283028473
Syntrichia montana,29451,16,0.0542980283028473
Tellima grandiflora,29451,16,0.0542980283028473
Thuidium tamariscinum,29451,16,0.0542980283028473
Tortula acaulon,29451,16,0.0542980283028473
Tremella mesenterica,29451,16,0.0542980283028473
Tringa glareola,29451,16,0.0542980283028473
Ulota bruchii,29451,16,0.0542980283028473
Valerianella carinata,29451,16,0.0542980283028473
Vinca minor,29451,16,0.0542980283028473
Vipera berus,29451,16,0.0542980283028473
Acarospora fuscata,29452,15,0.0509044015339193
Agaricus campestris,29452,15,0.0509044015339193
Amara aenea,29452,15,0.0509044015339193
Anisus vortex,29452,15,0.0509044015339193
Aphanes arvensis,29452,15,0.0509044015339193
Araniella cucurbitina,29452,15,0.0509044015339193
Araniella opisthographa,29452,15,0.0509044015339193
Argyresthia trifasciata,29452,15,0.0509044015339193
Arianta arbustorum,29452,15,0.0509044015339193
Arion owenii,29452,15,0.0509044015339193
Aspicilia contorta,29452,15,0.0509044015339193
Athalia cordata,29452,15,0.0509044015339193
Calluna vulgaris,29452,15,0.0509044015339193
Cancer pagurus,29452,15,0.0509044015339193
Cassida rubiginosa,29452,15,0.0509044015339193
Chaerophyllum temulum,29452,15,0.0509044015339193
Cirrhia icteritia,29452,15,0.0509044015339193
Cucullia verbasci,29452,15,0.0509044015339193
Cylindroiulus caeruleocinctus,29452,15,0.0509044015339193
Deraeocoris flavilinea,29452,15,0.0509044015339193
Empoasca vitis,29452,15,0.0509044015339193
Eranthis hyemalis,29452,15,0.0509044015339193
Festuca pratensis,29452,15,0.0509044015339193
Ficedula hypoleuca,29452,15,0.0509044015339193
Gongylidiellum vivum,29452,15,0.0509044015339193
Halictus rubicundus,29452,15,0.0509044015339193
Hemithea aestivaria,29452,15,0.0509044015339193
Hygrocybe virginea,29452,15,0.0509044015339193
Hypericum tetrapterum,29452,15,0.0509044015339193
Juncus acutiflorus,29452,15,0.0509044015339193
Lasioglossum calceatum,29452,15,0.0509044015339193
Lauria cylindracea,29452,15,0.0509044015339193
Leccinum scabrum,29452,15,0.0509044015339193
Lepidostoma hirtum,29452,15,0.0509044015339193
Lonicera nitida,29452,15,0.0509044015339193
Luzula sylvatica,29452,15,0.0509044015339193
Marasmius oreades,29452,15,0.0509044015339193
Mergellus albellus,29452,15,0.0509044015339193
Mustela nivalis,29452,15,0.0509044015339193
Mycena pura,29452,15,0.0509044015339193
Myodes glareolus,29452,15,0.0509044015339193
Myosotis laxa,29452,15,0.0509044015339193
Myotis nattereri,29452,15,0.0509044015339193
Nezara viridula,29452,15,0.0509044015339193
Nomada fabriciana,29452,15,0.0509044015339193
Notonecta glauca,29452,15,0.0509044015339193
Nuphar lutea,29452,15,0.0509044015339193
Orthotrichum pulchellum,29452,15,0.0509044015339193
Oxalis exilis,29452,15,0.0509044015339193
Pandemis cerasana,29452,15,0.0509044015339193
Panurus biarmicus,29452,15,0.0509044015339193
Phylloneta sisyphia,29452,15,0.0509044015339193
Picea abies,29452,15,0.0509044015339193
Podiceps auritus,29452,15,0.0509044015339193
Salix purpurea,29452,15,0.0509044015339193
Savignia frontata,29452,15,0.0509044015339193
Sisymbrium orientale,29452,15,0.0509044015339193
Sphaerophoria scripta,29452,15,0.0509044015339193
Squalius cephalus,29452,15,0.0509044015339193
Symphytum tuberosum,29452,15,0.0509044015339193
Syntrichia papillosa,29452,15,0.0509044015339193
Tenthredo mesomela,29452,15,0.0509044015339193
Trachemys scripta,29452,15,0.0509044015339193
Trifolium arvense,29452,15,0.0509044015339193
Trifolium hybridum,29452,15,0.0509044015339193
Tritomegas bicolor,29452,15,0.0509044015339193
Vicia tetrasperma,29452,15,0.0509044015339193
Volucella bombylans,29452,15,0.0509044015339193
Walckenaeria unicornis,29452,15,0.0509044015339193
Acronicta aceris,29453,14,0.0475107747649914
Agriphila inquinatella,29453,14,0.0475107747649914
Alcis repandata,29453,14,0.0475107747649914
Anacaena limbata,29453,14,0.0475107747649914
Arion ater,29453,14,0.0475107747649914
Bolbitius titubans,29453,14,0.0475107747649914
Borago officinalis,29453,14,0.0475107747649914
Bryotropha domestica,29453,14,0.0475107747649914
Calendula officinalis,29453,14,0.0475107747649914
Cantharis livida,29453,14,0.0475107747649914
Capsus ater,29453,14,0.0475107747649914
Celypha striana,29453,14,0.0475107747649914
Cheilosia illustrata,29453,14,0.0475107747649914
Chlorophyllum rachodes,29453,14,0.0475107747649914
Clubiona pallidula,29453,14,0.0475107747649914
Crambus lathoniellus,29453,14,0.0475107747649914
Didymodon tophaceus,29453,14,0.0475107747649914
Dioctria baumhaueri,29453,14,0.0475107747649914
Elymus caninus,29453,14,0.0475107747649914
Eratigena duellica,29453,14,0.0475107747649914
Erysimum cheiri,29453,14,0.0475107747649914
Evergestis forficalis,29453,14,0.0475107747649914
Exidia nucleata,29453,14,0.0475107747649914
Fallopia baldschuanica,29453,14,0.0475107747649914
Hedya pruniana,29453,14,0.0475107747649914
Heterotoma planicornis,29453,14,0.0475107747649914
Hylaeus hyalinatus,29453,14,0.0475107747649914
Jacobaea aquatica,29453,14,0.0475107747649914
Larus hyperboreus,29453,14,0.0475107747649914
Lecidella elaeochroma,29453,14,0.0475107747649914
Litoligia literosa,29453,14,0.0475107747649914
Marasmius rotula,29453,14,0.0475107747649914
Mellinus arvensis,29453,14,0.0475107747649914
Mustela erminea,29453,14,0.0475107747649914
Mycena speirea,29453,14,0.0475107747649914
Myrrha octodecimguttata,29453,14,0.0475107747649914
Mytilus edulis,29453,14,0.0475107747649914
Nebria brevicollis,29453,14,0.0475107747649914
Notocelia uddmanniana,29453,14,0.0475107747649914
Opomyza florum,29453,14,0.0475107747649914
Oxychilus navarricus,29453,14,0.0475107747649914
Phaonia tuguriorum,29453,14,0.0475107747649914
Platanthera chlorantha,29453,14,0.0475107747649914
Plenogemma phyllantha,29453,14,0.0475107747649914
Poa humilis,29453,14,0.0475107747649914
Pocadicnemis juncea,29453,14,0.0475107747649914
Polyporus badius,29453,14,0.0475107747649914
Quercus cerris,29453,14,0.0475107747649914
Rhinophora lepida,29453,14,0.0475107747649914
Sargus bipunctatus,29453,14,0.0475107747649914
Serratella ignita,29453,14,0.0475107747649914
Tenuiphantes zimmermanni,29453,14,0.0475107747649914
Thamnobryum alopecurum,29453,14,0.0475107747649914
Tortula truncata,29453,14,0.0475107747649914
Valvata cristata,29453,14,0.0475107747649914
Veronica catenata,29453,14,0.0475107747649914
Verrucaria hochstetteri,29453,14,0.0475107747649914
Viburnum lantana,29453,14,0.0475107747649914
Virgularia mirabilis,29453,14,0.0475107747649914
Xanthoria polycarpa,29453,14,0.0475107747649914
Yponomeuta evonymella,29453,14,0.0475107747649914
Abraxas grossulariata,29454,13,0.0441171479960634
Agrochola lychnidis,29454,13,0.0441171479960634
Andrena chrysosceles,29454,13,0.0441171479960634
Anthonomus rubi,29454,13,0.0441171479960634
Apamea lithoxylaea,29454,13,0.0441171479960634
Asterias rubens,29454,13,0.0441171479960634
Atropa belladonna,29454,13,0.0441171479960634
Bryoerythrophyllum recurvirostrum,29454,13,0.0441171479960634
Bryotropha affinis,29454,13,0.0441171479960634
Campylopus introflexus,29454,13,0.0441171479960634
Centaurea cyanus,29454,13,0.0441171479960634
Chrysotoxum bicinctum,29454,13,0.0441171479960634
Colletes daviesanus,29454,13,0.0441171479960634
Craniophora ligustri,29454,13,0.0441171479960634
Cruciata laevipes,29454,13,0.0441171479960634
Ecliptopera silaceata,29454,13,0.0441171479960634
Ectemnius cavifrons,29454,13,0.0441171479960634
Ectropis crepuscularia,29454,13,0.0441171479960634
Eristalis intricaria,29454,13,0.0441171479960634
Euphorbia amygdaloides,29454,13,0.0441171479960634
Eupithecia centaureata,29454,13,0.0441171479960634
Eupithecia intricata,29454,13,0.0441171479960634
Gymnopus peronatus,29454,13,0.0441171479960634
Gyraulus albus,29454,13,0.0441171479960634
Hebeloma crustuliniforme,29454,13,0.0441171479960634
Heterobasidion annosum,29454,13,0.0441171479960634
Hypogymnia physodes,29454,13,0.0441171479960634
Kleidocerys resedae,29454,13,0.0441171479960634
Lophocolea heterophylla,29454,13,0.0441171479960634
Luzula multiflora,29454,13,0.0441171479960634
Matricaria chamomilla,29454,13,0.0441171479960634
Megacollybia platyphylla,29454,13,0.0441171479960634
Metellina segmentata,29454,13,0.0441171479960634
Mimas tiliae,29454,13,0.0441171479960634
Narcissus pseudonarcissus,29454,13,0.0441171479960634
Odontocerum albicorne,29454,13,0.0441171479960634
Oedemera lurida,29454,13,0.0441171479960634
Oedothorax retusus,29454,13,0.0441171479960634
Orchesella cincta,29454,13,0.0441171479960634
Oxalis corniculata,29454,13,0.0441171479960634
Oxychilus draparnaudi,29454,13,0.0441171479960634
Parasola plicatilis,29454,13,0.0441171479960634
Perca fluviatilis,29454,13,0.0441171479960634
Phrurolithus festivus,29454,13,0.0441171479960634
Phymatocera aterrima,29454,13,0.0441171479960634
Platycheirus albimanus,29454,13,0.0441171479960634
Protapion apricans,29454,13,0.0441171479960634
Pyrochroa serraticornis,29454,13,0.0441171479960634
Rosa spinosissima,29454,13,0.0441171479960634
Saccharina latissima,29454,13,0.0441171479960634
Sagina apetala,29454,13,0.0441171479960634
Sagittaria sagittifolia,29454,13,0.0441171479960634
Sanicula europaea,29454,13,0.0441171479960634
Schizopora paradoxa,29454,13,0.0441171479960634
Schoenoplectus lacustris,29454,13,0.0441171479960634
Scleroderma verrucosum,29454,13,0.0441171479960634
Solidago gigantea,29454,13,0.0441171479960634
Sorex araneus,29454,13,0.0441171479960634
Syntrichia ruraliformis,29454,13,0.0441171479960634
Thera britannica,29454,13,0.0441171479960634
Theridion mystaceum,29454,13,0.0441171479960634
Tiso vagans,29454,13,0.0441171479960634
Tricholoma scalpturatum,29454,13,0.0441171479960634
Acleris forsskaleana,29455,12,0.0407235212271354
Alcea rosea,29455,12,0.0407235212271354
Allium vineale,29455,12,0.0407235212271354
Anaspis maculata,29455,12,0.0407235212271354
Anchoscelis lunosa,29455,12,0.0407235212271354
Anthus spinoletta,29455,12,0.0407235212271354
Antirrhinum majus,29455,12,0.0407235212271354
Aphelocheirus aestivalis,29455,12,0.0407235212271354
Apion frumentarium,29455,12,0.0407235212271354
Athous haemorrhoidalis,29455,12,0.0407235212271354
Bembidion guttula,29455,12,0.0407235212271354
Bombus rupestris,29455,12,0.0407235212271354
Britzelmayria multipedata,29455,12,0.0407235212271354
Byssomerulius corium,29455,12,0.0407235212271354
Calliteara pudibunda,29455,12,0.0407235212271354
Calocera viscosa,29455,12,0.0407235212271354
Caloplaca crenulatella,29455,12,0.0407235212271354
Campanula trachelium,29455,12,0.0407235212271354
Carex panicea,29455,12,0.0407235212271354
Cerceris rybyensis,29455,12,0.0407235212271354
Chroicocephalus philadelphia,29455,12,0.0407235212271354
Chrysopilus asiliformis,29455,12,0.0407235212271354
Cionus scrophulariae,29455,12,0.0407235212271354
Clitopilus prunulus,29455,12,0.0407235212271354
Conyza sumatrensis,29455,12,0.0407235212271354
Coptotriche marginea,29455,12,0.0407235212271354
Cornus sericea,29455,12,0.0407235212271354
Diatrype disciformis,29455,12,0.0407235212271354
Drepana falcataria,29455,12,0.0407235212271354
Erigonella hiemalis,29455,12,0.0407235212271354
Eriophyes similis,29455,12,0.0407235212271354
Erynnis tages,29455,12,0.0407235212271354
Euphorbia lathyris,29455,12,0.0407235212271354
Fistulina hepatica,29455,12,0.0407235212271354
Fritillaria meleagris,29455,12,0.0407235212271354
Gnathonarium dentatum,29455,12,0.0407235212271354
Gobiusculus flavescens,29455,12,0.0407235212271354
Graphopsocus cruciatus,29455,12,0.0407235212271354
Halesus radiatus,29455,12,0.0407235212271354
Halichoerus grypus,29455,12,0.0407235212271354
Hypericum calycinum,29455,12,0.0407235212271354
Idaea biselata,29455,12,0.0407235212271354
Kretzschmaria deusta,29455,12,0.0407235212271354
Lactarius pubescens,29455,12,0.0407235212271354
Lactarius pyrogalus,29455,12,0.0407235212271354
Lactuca virosa,29455,12,0.0407235212271354
Lepidium didymum,29455,12,0.0407235212271354
Leptodictyum riparium,29455,12,0.0407235212271354
Linaria flavirostris,29455,12,0.0407235212271354
Lucilia caesar,29455,12,0.0407235212271354
Lycogala terrestre,29455,12,0.0407235212271354
Lyophyllum decastes,29455,12,0.0407235212271354
Lysimachia nummularia,29455,12,0.0407235212271354
Mecinus pascuorum,29455,12,0.0407235212271354
Mycena filopes,29455,12,0.0407235212271354
Mycena rosea,29455,12,0.0407235212271354
Neuroterus quercusbaccarum,29455,12,0.0407235212271354
Pandemis heparana,29455,12,0.0407235212271354
Pardosa saltans,29455,12,0.0407235212271354
Persicaria lapathifolia,29455,12,0.0407235212271354
Philodromus cespitum,29455,12,0.0407235212271354
Phragmatobia fuliginosa,29455,12,0.0407235212271354
Phyllobius roboretanus,29455,12,0.0407235212271354
Polyporus leptocephalus,29455,12,0.0407235212271354
Polystichum setiferum,29455,12,0.0407235212271354
Potamogeton natans,29455,12,0.0407235212271354
Potentilla sterilis,29455,12,0.0407235212271354
Protapion assimile,29455,12,0.0407235212271354
Puccinia lagenophorae,29455,12,0.0407235212271354
Ranunculus auricomus,29455,12,0.0407235212271354
Rhagio tringarius,29455,12,0.0407235212271354
Rhinoncus pericarpius,29455,12,0.0407235212271354
Scoparia ambigualis,29455,12,0.0407235212271354
Stemonyphantes lineatus,29455,12,0.0407235212271354
Stenotus binotatus,29455,12,0.0407235212271354
Stereum rugosum,29455,12,0.0407235212271354
Stigmella aceris,29455,12,0.0407235212271354
Stratiomys potamida,29455,12,0.0407235212271354
Sympetrum danae,29455,12,0.0407235212271354
Tachypodoiulus niger,29455,12,0.0407235212271354
Tubaria furfuracea,29455,12,0.0407235212271354
Viola reichenbachiana,29455,12,0.0407235212271354
Acentria ephemerella,29456,11,0.0373298944582075
Agapeta hamana,29456,11,0.0373298944582075
Agaricus xanthodermus,29456,11,0.0373298944582075
Alchemilla glabra,29456,11,0.0373298944582075
Amaurobius fenestralis,29456,11,0.0373298944582075
Amaurobius ferox,29456,11,0.0373298944582075
Ancylus fluviatilis,29456,11,0.0373298944582075
Andricus quercuscalicis,29456,11,0.0373298944582075
Aporophyla nigra,29456,11,0.0373298944582075
Armillaria mellea,29456,11,0.0373298944582075
Arthonia radiata,29456,11,0.0373298944582075
Callimorpha dominula,29456,11,0.0373298944582075
Centaurium erythraea,29456,11,0.0373298944582075
Cerastoderma edule,29456,11,0.0373298944582075
Chloroclysta siterata,29456,11,0.0373298944582075
Chondrostereum purpureum,29456,11,0.0373298944582075
Chorda filum,29456,11,0.0373298944582075
Clepsis consimilana,29456,11,0.0373298944582075
Clitocybe geotropa,29456,11,0.0373298944582075
Dactylorhiza purpurella,29456,11,0.0373298944582075
Diatrypella quercina,29456,11,0.0373298944582075
Dicranella heteromalla,29456,11,0.0373298944582075
Didymodon fallax,29456,11,0.0373298944582075
Donacia semicuprea,29456,11,0.0373298944582075
Ennomos fuscantaria,29456,11,0.0373298944582075
Enoplognatha ovata,29456,11,0.0373298944582075
Euchoeca nebulata,29456,11,0.0373298944582075
Eupithecia abbreviata,29456,11,0.0373298944582075
Eupithecia absinthiata,29456,11,0.0373298944582075
Galinsoga quadriradiata,29456,11,0.0373298944582075
Gasterosteus aculeatus,29456,11,0.0373298944582075
Gavia arctica,29456,11,0.0373298944582075
Grimmia trichophylla,29456,11,0.0373298944582075
Haematopota pluvialis,29456,11,0.0373298944582075
Hypoxylon fragiforme,29456,11,0.0373298944582075
Inonotus hispidus,29456,11,0.0373298944582075
Ischnopterapion loti,29456,11,0.0373298944582075
Lathyrus latifolius,29456,11,0.0373298944582075
Lecania cyrtella,29456,11,0.0373298944582075
Lepista saeva,29456,11,0.0373298944582075
Limnephilus flavicornis,29456,11,0.0373298944582075
Liocarcinus depurator,29456,11,0.0373298944582075
Longitarsus dorsalis,29456,11,0.0373298944582075
Luscinia megarhynchos,29456,11,0.0373298944582075
Lysimachia punctata,29456,11,0.0373298944582075
Mimulus guttatus,29456,11,0.0373298944582075
Nigella damascena,29456,11,0.0373298944582075
Opomyza germinationis,29456,11,0.0373298944582075
Orthops campestris,29456,11,0.0373298944582075
Pagurus bernhardus,29456,11,0.0373298944582075
Pholiota squarrosa,29456,11,0.0373298944582075
Phyllonorycter coryli,29456,11,0.0373298944582075
Phytomyza agromyzina,29456,11,0.0373298944582075
Porpidia soredizodes,29456,11,0.0373298944582075
Protapion fulvipes,29456,11,0.0373298944582075
Pseudotaxiphyllum elegans,29456,11,0.0373298944582075
Quercus petraea,29456,11,0.0373298944582075
Radula complanata,29456,11,0.0373298944582075
Rhamnus cathartica,29456,11,0.0373298944582075
Rhizomnium punctatum,29456,11,0.0373298944582075
Rorippa amphibia,29456,11,0.0373298944582075
Russula atropurpurea,29456,11,0.0373298944582075
Sedum rupestre,29456,11,0.0373298944582075
Sigara dorsalis,29456,11,0.0373298944582075
Silo pallipes,29456,11,0.0373298944582075
Sparganium emersum,29456,11,0.0373298944582075
Stellaria alsine,29456,11,0.0373298944582075
Stereum subtomentosum,29456,11,0.0373298944582075
Subacronicta megacephala,29456,11,0.0373298944582075
Tetragnatha obtusa,29456,11,0.0373298944582075
Trapelia coarctata,29456,11,0.0373298944582075
Trichosirocalus troglodytes,29456,11,0.0373298944582075
Udea lutealis,29456,11,0.0373298944582075
Xanthoria ucrainica,29456,11,0.0373298944582075
Xestia sexstrigata,29456,11,0.0373298944582075
